Probe_Set_ID	Lsmean_ A _expanding	Lsmean_ A_fullexpand	Lsmean_A_primordia	Lsmean_ E_expanding	Lsmean_ E_fullexpand	Lsmean_E_primordia
245255_at	-0.09701	0.139526	1.23291	-0.09229	0.631348	1.192139
245256_at	-1.2373	-1.76428	-1.06714	-1.4624	-1.6604	-1.15186
245260_at	0.665365	0.640015	0.388428	0.554199	0.796631	0.245605
245261_at	-0.5612	-0.27014	-0.04834	-0.47152	-0.24634	-0.06421
245263_at	1.631836	1.207153	1.007813	1.505046	1.009766	1.064209
245264_at	-1.20866	-1.19543	-1.71631	-1.36507	-1.22168	-1.57056
245265_at	3.967773	3.404907	-0.27051	4.0389	4.003418	-0.14624
245266_at	-0.61133	-0.42078	-1.46436	-0.21468	-0.19019	-1.26978
245268_at	-2.10938	-2.21497	-1.49854	-1.76514	-2.44531	-1.58057
245269_at	1.396159	1.497681	1.257813	1.445801	1.502441	1.214111
245270_at	3.568685	3.278442	3.97998	3.478353	3.119629	3.9021
245271_at	-0.42122	-0.24207	-0.14087	-0.17041	-0.12476	-0.22607
245273_at	-1.29069	-1.3197	-0.99609	-1.2417	-1.21094	-1.01245
245274_at	1.842773	1.77063	1.90918	1.760254	1.740234	1.771729
245277_at	-2.14323	-2.04529	-2.93604	-2.17985	-1.84888	-3.03479
245278_at	0.957357	0.964722	0.372803	1.030436	0.931152	0.352539
245279_at	0.704102	0.827515	0.763428	0.815918	1.01123	0.700684
245280_at	-0.5918	-0.46326	-0.07129	-0.54411	-0.47168	-0.01489
245281_at	3.080404	2.915649	2.535645	3.061686	2.686523	2.532471
245282_at	-0.41927	-0.09192	-0.98022	-0.38167	-0.15649	-1.08521
245283_at	-1.49382	-1.28503	-1.84204	-1.52816	-1.53442	-1.94727
245284_at	2.305664	2.061646	1.605957	2.136556	1.831055	1.761475
245285_s_at	1.573242	1.8927	1.388672	1.673014	1.944336	1.510498
245286_at	4.273763	4.27063	3.418457	4.264811	4.306152	3.413818
245287_at	1.246419	1.090942	0.43042	1.109863	0.878174	0.549805
245288_at	-0.24577	0.112183	-0.11816	-0.22835	0.118652	-0.11523
