Probe_Set_ID	percentchangeco2_fullexpand.x
253188_at	-24.7137508
260027_at	-24.675596
248801_at	-24.59935305
253947_at	-24.57358679
267595_at	-24.56052002
263150_at	-24.54801322
260877_at	-24.48426381
260081_at	-24.3821444
249685_at	-24.38189276
251221_at	-24.36919274
252983_at	-24.31794941
253597_at	-24.29242429
252441_at	-24.24107589
257895_at	-24.2026135
262236_at	-24.20246637
257171_at	-24.18978206
255012_at	-24.16433844
265162_at	-24.15126415
267355_at	-24.13843849
266509_at	-24.13842992
252615_at	-24.10004451
260262_at	-24.07434955
250403_at	-24.0614304
258256_at	-24.03573641
260969_at	-24.03567229
245042_at	-24.02292729
251509_at	-24.01004705
257832_at	-24.00999709
250413_at	-23.99733951
260644_at	-23.97114794
249920_at	-23.90724539
252230_at	-23.89407352
250109_at	-23.88128596
252852_at	-23.86829494
249911_at	-23.81680458
260217_at	-23.81017459
253624_at	-23.76524592
254141_at	-23.75240584
245810_at	-23.71338591
260565_at	-23.70081974
253428_at	-23.62321936
266311_at	-23.61034878
245683_at	-23.59756947
260271_at	-23.46801527
252946_at	-23.45483739
252366_at	-23.44202885
262920_at	-23.42891305
267316_at	-23.40359421
255540_at	-23.33834019
258735_at	-23.33833575
252975_s_at	-23.33829028
263014_at	-23.31235109
258291_at	-23.29955245
250812_at	-23.29943972
245632_at	-23.28660376
264250_at	-23.28641966
251036_at	-23.26047349
257611_at	-23.26047299
254259_s_at	-23.18236
252412_at	-23.15668871
245109_at	-23.14394174
262648_at	-23.11754292
255709_at	-23.11739505
266303_at	-23.07848998
258684_at	-23.0003224
256151_at	-22.98716509
256997_at	-22.97425663
259193_at	-22.97422523
256698_at	-22.90890723
259375_at	-22.817645
251736_at	-22.73913086
261230_at	-22.63456311
247709_at	-22.58219941
257865_at	-22.49084712
257938_at	-22.47733989
251308_at	-22.42463121
251858_at	-22.37265077
258884_at	-22.35928819
266295_at	-22.3328671
248608_at	-22.33282216
264653_at	-22.26716586
247668_at	-22.26700697
259093_at	-22.25401493
253118_at	-22.20134332
267130_at	-22.18820116
266889_at	-22.17503257
245188_at	-22.17496048
258927_at	-22.13549947
254783_at	-22.1354837
253635_at	-22.10912749
250203_at	-22.08272885
264209_at	-22.06960202
248059_at	-22.06958051
261512_at	-22.0695368
267238_at	-21.98999867
261286_at	-21.95117747
267606_at	-21.93761451
258269_at	-21.93756814
260284_at	-21.89788356
267220_at	-21.80532547
256813_at	-21.79195887
261859_at	-21.71275468
265432_at	-21.68592111
267170_at	-21.65937506
251881_at	-21.63285601
252175_at	-21.63283793
258736_at	-21.580159
252646_at	-21.51351721
255617_at	-21.48727013
258135_at	-21.47360367
246576_at	-21.43399849
258676_at	-21.39394832
266372_at	-21.38092724
252204_at	-21.35394188
259983_at	-21.34081794
266604_at	-21.32750372
254239_at	-21.31420589
247853_at	-21.31420092
260069_at	-21.2342258
261610_at	-21.18127211
266035_at	-21.07415947
259858_at	-21.07415878
251855_at	-21.06076983
258621_at	-21.04745114
261388_at	-21.03410068
247034_at	-21.02056497
260967_at	-20.98066345
260821_at	-20.98064593
253350_at	-20.94051776
262059_at	-20.92711365
