"id"	"pri_exp"	"exp_mature"	"pri_mature"	"pri_exp_mat"
"252"	"exp_mature"	NA	"259232_at"	NA	NA
"253"	"exp_mature"	NA	"255943_at"	NA	NA
"254"	"exp_mature"	NA	"249580_at"	NA	NA
"255"	"exp_mature"	NA	"262314_at"	NA	NA
"256"	"exp_mature"	NA	"253414_at"	NA	NA
"257"	"exp_mature"	NA	"266904_at"	NA	NA
"258"	"exp_mature"	NA	"261413_at"	NA	NA
"259"	"exp_mature"	NA	"259561_at"	NA	NA
"260"	"exp_mature"	NA	"250849_at"	NA	NA
"261"	"exp_mature"	NA	"250510_at"	NA	NA
"262"	"exp_mature"	NA	"262749_at"	NA	NA
"263"	"exp_mature"	NA	"263854_at"	NA	NA
"264"	"exp_mature"	NA	"261225_at"	NA	NA
"265"	"exp_mature"	NA	"254894_at"	NA	NA
"266"	"exp_mature"	NA	"248833_at"	NA	NA
"267"	"exp_mature"	NA	"250990_at"	NA	NA
"268"	"exp_mature"	NA	"254192_at"	NA	NA
"269"	"exp_mature"	NA	"248882_at"	NA	NA
"270"	"exp_mature"	NA	"262932_at"	NA	NA
"271"	"exp_mature"	NA	"248698_at"	NA	NA
"272"	"exp_mature"	NA	"261685_at"	NA	NA
"273"	"exp_mature"	NA	"264951_at"	NA	NA
"274"	"exp_mature"	NA	"245052_at"	NA	NA
"275"	"exp_mature"	NA	"251624_at"	NA	NA
"276"	"exp_mature"	NA	"259655_at"	NA	NA
"277"	"exp_mature"	NA	"260879_at"	NA	NA
"278"	"exp_mature"	NA	"257206_at"	NA	NA
"279"	"exp_mature"	NA	"251475_at"	NA	NA
"280"	"exp_mature"	NA	"263478_at"	NA	NA
"281"	"exp_mature"	NA	"253300_at"	NA	NA
"282"	"exp_mature"	NA	"255070_at"	NA	NA
"283"	"exp_mature"	NA	"247348_at"	NA	NA
"284"	"exp_mature"	NA	"265446_at"	NA	NA
"285"	"exp_mature"	NA	"251954_at"	NA	NA
"286"	"exp_mature"	NA	"260551_at"	NA	NA
"287"	"exp_mature"	NA	"264663_at"	NA	NA
"288"	"exp_mature"	NA	"245593_at"	NA	NA
"289"	"exp_mature"	NA	"266889_at"	NA	NA
"290"	"exp_mature"	NA	"249754_at"	NA	NA
"291"	"exp_mature"	NA	"248696_at"	NA	NA
"292"	"exp_mature"	NA	"264351_at"	NA	NA
"293"	"exp_mature"	NA	"262648_at"	NA	NA
"294"	"exp_mature"	NA	"258949_at"	NA	NA
"295"	"exp_mature"	NA	"262236_at"	NA	NA
"296"	"exp_mature"	NA	"267230_at"	NA	NA
"297"	"exp_mature"	NA	"249652_at"	NA	NA
"298"	"exp_mature"	NA	"258333_at"	NA	NA
"299"	"exp_mature"	NA	"248138_at"	NA	NA
"300"	"exp_mature"	NA	"256400_at"	NA	NA
"301"	"exp_mature"	NA	"255923_at"	NA	NA
"302"	"exp_mature"	NA	"255967_at"	NA	NA
"303"	"exp_mature"	NA	"250480_at"	NA	NA
"304"	"exp_mature"	NA	"248975_at"	NA	NA
"305"	"exp_mature"	NA	"249685_at"	NA	NA
"306"	"exp_mature"	NA	"255116_at"	NA	NA
"307"	"exp_mature"	NA	"267316_at"	NA	NA
"308"	"exp_mature"	NA	"262793_at"	NA	NA
"309"	"exp_mature"	NA	"255595_at"	NA	NA
"310"	"exp_mature"	NA	"259092_at"	NA	NA
"311"	"exp_mature"	NA	"249641_at"	NA	NA
"312"	"exp_mature"	NA	"260371_at"	NA	NA
"313"	"exp_mature"	NA	"250958_at"	NA	NA
"314"	"exp_mature"	NA	"261765_at"	NA	NA
"315"	"exp_mature"	NA	"261880_at"	NA	NA
"316"	"exp_mature"	NA	"255674_at"	NA	NA
"317"	"exp_mature"	NA	"253635_at"	NA	NA
"318"	"exp_mature"	NA	"247216_at"	NA	NA
"319"	"exp_mature"	NA	"261159_s_at"	NA	NA
"320"	"exp_mature"	NA	"250670_at"	NA	NA
"321"	"exp_mature"	NA	"254348_at"	NA	NA
"322"	"exp_mature"	NA	"258251_at"	NA	NA
"323"	"exp_mature"	NA	"252328_at"	NA	NA
"324"	"exp_mature"	NA	"267392_at"	NA	NA
"325"	"exp_mature"	NA	"252922_at"	NA	NA
"326"	"exp_mature"	NA	"245373_s_at"	NA	NA
"327"	"exp_mature"	NA	"254218_at"	NA	NA
"328"	"exp_mature"	NA	"263804_at"	NA	NA
"329"	"exp_mature"	NA	"250921_at"	NA	NA
"330"	"exp_mature"	NA	"259757_at"	NA	NA
"331"	"exp_mature"	NA	"258135_at"	NA	NA
"332"	"exp_mature"	NA	"254211_at"	NA	NA
"333"	"exp_mature"	NA	"266363_at"	NA	NA
"334"	"exp_mature"	NA	"258164_at"	NA	NA
"335"	"exp_mature"	NA	"248524_s_at"	NA	NA
"336"	"exp_mature"	NA	"254594_at"	NA	NA
"337"	"exp_mature"	NA	"254427_at"	NA	NA
"338"	"exp_mature"	NA	"258884_at"	NA	NA
"339"	"exp_mature"	NA	"254784_at"	NA	NA
"340"	"exp_mature"	NA	"255829_at"	NA	NA
"341"	"exp_mature"	NA	"250812_at"	NA	NA
"342"	"exp_mature"	NA	"253125_at"	NA	NA
"343"	"exp_mature"	NA	"246620_at"	NA	NA
"344"	"exp_mature"	NA	"255709_at"	NA	NA
"345"	"exp_mature"	NA	"255259_at"	NA	NA
"346"	"exp_mature"	NA	"252412_at"	NA	NA
"347"	"exp_mature"	NA	"260556_at"	NA	NA
"348"	"exp_mature"	NA	"257938_at"	NA	NA
"349"	"exp_mature"	NA	"256337_at"	NA	NA
"350"	"exp_mature"	NA	"257238_at"	NA	NA
"351"	"exp_mature"	NA	"246847_at"	NA	NA
"352"	"exp_mature"	NA	"252076_at"	NA	NA
"353"	"exp_mature"	NA	"259474_at"	NA	NA
"354"	"exp_mature"	NA	"257805_at"	NA	NA
"355"	"exp_mature"	NA	"265053_at"	NA	NA
"356"	"exp_mature"	NA	"251297_at"	NA	NA
"357"	"exp_mature"	NA	"256240_at"	NA	NA
"358"	"exp_mature"	NA	"251299_at"	NA	NA
"359"	"exp_mature"	NA	"258140_at"	NA	NA
"360"	"exp_mature"	NA	"262899_at"	NA	NA
"361"	"exp_mature"	NA	"249183_at"	NA	NA
"362"	"exp_mature"	NA	"258002_at"	NA	NA
"363"	"exp_mature"	NA	"257746_at"	NA	NA
"364"	"exp_mature"	NA	"250301_at"	NA	NA
"365"	"exp_mature"	NA	"262820_at"	NA	NA
"366"	"exp_mature"	NA	"262657_at"	NA	NA
"367"	"exp_mature"	NA	"248817_at"	NA	NA
"368"	"exp_mature"	NA	"251040_at"	NA	NA
"369"	"exp_mature"	NA	"262177_at"	NA	NA
"370"	"exp_mature"	NA	"253954_at"	NA	NA
"371"	"exp_mature"	NA	"248820_at"	NA	NA
"372"	"exp_mature"	NA	"256366_at"	NA	NA
"373"	"exp_mature"	NA	"245156_at"	NA	NA
"374"	"exp_mature"	NA	"256308_s_at"	NA	NA
"375"	"exp_mature"	NA	"250307_at"	NA	NA
"376"	"exp_mature"	NA	"253480_at"	NA	NA
"377"	"exp_mature"	NA	"250403_at"	NA	NA
"378"	"exp_mature"	NA	"245694_at"	NA	NA
"379"	"exp_mature"	NA	"263179_at"	NA	NA
"380"	"exp_mature"	NA	"263583_at"	NA	NA
"381"	"exp_mature"	NA	"261032_at"	NA	NA
"382"	"exp_mature"	NA	"255808_at"	NA	NA
"383"	"exp_mature"	NA	"260082_at"	NA	NA
"384"	"exp_mature"	NA	"260548_at"	NA	NA
"385"	"exp_mature"	NA	"245426_at"	NA	NA
"386"	"exp_mature"	NA	"251237_at"	NA	NA
"387"	"exp_mature"	NA	"260370_at"	NA	NA
"388"	"exp_mature"	NA	"246749_at"	NA	NA
"389"	"exp_mature"	NA	"267376_at"	NA	NA
"390"	"exp_mature"	NA	"247571_at"	NA	NA
"391"	"exp_mature"	NA	"253926_at"	NA	NA
"392"	"exp_mature"	NA	"257313_at"	NA	NA
"393"	"exp_mature"	NA	"259852_at"	NA	NA
"394"	"exp_mature"	NA	"251791_at"	NA	NA
"395"	"exp_mature"	NA	"262504_at"	NA	NA
"396"	"exp_mature"	NA	"261581_at"	NA	NA
"397"	"exp_mature"	NA	"258355_at"	NA	NA
"398"	"exp_mature"	NA	"263777_at"	NA	NA
"399"	"exp_mature"	NA	"256962_at"	NA	NA
"400"	"exp_mature"	NA	"254776_at"	NA	NA
"401"	"exp_mature"	NA	"251676_at"	NA	NA
"402"	"exp_mature"	NA	"266261_at"	NA	NA
"403"	"exp_mature"	NA	"257088_at"	NA	NA
"404"	"exp_mature"	NA	"252391_at"	NA	NA
"405"	"exp_mature"	NA	"254535_at"	NA	NA
"406"	"exp_mature"	NA	"263590_at"	NA	NA
"407"	"exp_mature"	NA	"252548_at"	NA	NA
"408"	"exp_mature"	NA	"248420_at"	NA	NA
"409"	"exp_mature"	NA	"267364_at"	NA	NA
"410"	"exp_mature"	NA	"266715_at"	NA	NA
"411"	"exp_mature"	NA	"247826_at"	NA	NA
"412"	"exp_mature"	NA	"253581_at"	NA	NA
"413"	"exp_mature"	NA	"265033_at"	NA	NA
"414"	"exp_mature"	NA	"253268_s_at"	NA	NA
"415"	"exp_mature"	NA	"260229_at"	NA	NA
"416"	"exp_mature"	NA	"253397_at"	NA	NA
"417"	"exp_mature"	NA	"256770_at"	NA	NA
"418"	"exp_mature"	NA	"262920_at"	NA	NA
"419"	"exp_mature"	NA	"263298_at"	NA	NA
"420"	"exp_mature"	NA	"262969_at"	NA	NA
"421"	"exp_mature"	NA	"251643_at"	NA	NA
"422"	"exp_mature"	NA	"261639_at"	NA	NA
"423"	"exp_mature"	NA	"266207_at"	NA	NA
"424"	"exp_mature"	NA	"249385_at"	NA	NA
"425"	"exp_mature"	NA	"260138_at"	NA	NA
"426"	"exp_mature"	NA	"257749_at"	NA	NA
"427"	"exp_mature"	NA	"245956_s_at"	NA	NA
"428"	"exp_mature"	NA	"262694_at"	NA	NA
"429"	"exp_mature"	NA	"264198_at"	NA	NA
"430"	"exp_mature"	NA	"253485_at"	NA	NA
"431"	"exp_mature"	NA	"251457_s_at"	NA	NA
"432"	"exp_mature"	NA	"256151_at"	NA	NA
"433"	"exp_mature"	NA	"260454_at"	NA	NA
"434"	"exp_mature"	NA	"254549_at"	NA	NA
"435"	"pri_exp"	"261438_at"	NA	NA	NA
"436"	"pri_exp"	"258894_at"	NA	NA	NA
"437"	"pri_exp"	"267246_at"	NA	NA	NA
"438"	"pri_exp"	"248551_at"	NA	NA	NA
"439"	"pri_exp"	"249918_at"	NA	NA	NA
"440"	"pri_exp"	"257654_at"	NA	NA	NA
"441"	"pri_exp"	"267230_at"	NA	NA	NA
"442"	"pri_exp"	"266474_at"	NA	NA	NA
"443"	"pri_exp"	"245329_at"	NA	NA	NA
"444"	"pri_exp"	"256770_at"	NA	NA	NA
"445"	"pri_exp"	"266400_at"	NA	NA	NA
"446"	"pri_exp"	"256650_at"	NA	NA	NA
"447"	"pri_exp"	"264221_s_at"	NA	NA	NA
"448"	"pri_exp"	"251170_at"	NA	NA	NA
"449"	"pri_exp"	"264696_at"	NA	NA	NA
"450"	"pri_exp"	"245199_at"	NA	NA	NA
"451"	"pri_exp"	"263053_at"	NA	NA	NA
"452"	"pri_exp"	"259591_at"	NA	NA	NA
"453"	"pri_exp"	"245501_at"	NA	NA	NA
"454"	"pri_exp"	"255742_at"	NA	NA	NA
"455"	"pri_exp"	"252053_at"	NA	NA	NA
"456"	"pri_exp"	"258499_at"	NA	NA	NA
"457"	"pri_exp"	"247315_at"	NA	NA	NA
"458"	"pri_exp"	"257749_at"	NA	NA	NA
"459"	"pri_exp"	"246511_at"	NA	NA	NA
"460"	"pri_exp"	"251400_at"	NA	NA	NA
"461"	"pri_exp"	"251060_at"	NA	NA	NA
"462"	"pri_exp"	"252170_at"	NA	NA	NA
"463"	"pri_exp"	"248327_at"	NA	NA	NA
"464"	"pri_exp"	"255808_at"	NA	NA	NA
"465"	"pri_exp"	"258500_at"	NA	NA	NA
"466"	"pri_exp"	"247884_at"	NA	NA	NA
"467"	"pri_exp"	"252234_at"	NA	NA	NA
"468"	"pri_exp"	"253414_at"	NA	NA	NA
"469"	"pri_exp"	"260855_at"	NA	NA	NA
"470"	"pri_exp"	"262772_at"	NA	NA	NA
"471"	"pri_exp"	"252298_at"	NA	NA	NA
"472"	"pri_exp"	"247188_at"	NA	NA	NA
"473"	"pri_exp"	"257621_at"	NA	NA	NA
"474"	"pri_exp"	"256755_at"	NA	NA	NA
"475"	"pri_exp_mat"	NA	NA	NA	"251060_at"
"476"	"pri_exp_mat"	NA	NA	NA	"247188_at"
"477"	"pri_exp_mat"	NA	NA	NA	"258499_at"
"478"	"pri_exp_mat"	NA	NA	NA	"257749_at"
"479"	"pri_exp_mat"	NA	NA	NA	"257621_at"
"480"	"pri_exp_mat"	NA	NA	NA	"249918_at"
"481"	"pri_exp_mat"	NA	NA	NA	"257654_at"
"482"	"pri_exp_mat"	NA	NA	NA	"255742_at"
"483"	"pri_exp_mat"	NA	NA	NA	"267246_at"
"484"	"pri_exp_mat"	NA	NA	NA	"256770_at"
"485"	"pri_exp_mat"	NA	NA	NA	"256755_at"
"486"	"pri_exp_mat"	NA	NA	NA	"266474_at"
"487"	"pri_exp_mat"	NA	NA	NA	"252234_at"
"488"	"pri_exp_mat"	NA	NA	NA	"258894_at"
"489"	"pri_exp_mat"	NA	NA	NA	"267230_at"
"490"	"pri_exp_mat"	NA	NA	NA	"253414_at"
